id,product_id,store_id,sku,barcode,price,stock,stock_management,created_at,updated_at,min_stock,values,image_url
113873095,43817633,1034705,,,480.00,17,true,2026-03-19 04:00:53.044774+00,2026-03-19 04:00:52.963+00,5,"[{""pt"": ""30\""""}, {""pt"": ""Preto""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/x10-estabilizador-recurvo-longo-22-9819a5d310aed6441a15754042329114-1024-1024.jpg
113873096,43817633,1034705,,,480.00,1,true,2026-03-19 04:00:53.044774+00,2026-03-19 04:00:52.963+00,5,"[{""pt"": ""30\""""}, {""pt"": ""Azul""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/x10-estabilizador-recurvo-longo-22-9819a5d310aed6441a15754042329114-1024-1024.jpg
113873097,43817633,1034705,,,480.00,3,true,2026-03-19 04:00:53.044774+00,2026-03-19 04:00:52.963+00,5,"[{""pt"": ""30\""""}, {""pt"": ""Vermelho""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/x10-estabilizador-recurvo-longo-22-9819a5d310aed6441a15754042329114-1024-1024.jpg
113873099,43817633,1034705,,,480.00,0,true,2026-03-19 04:00:53.044774+00,2026-03-19 04:00:52.963+00,5,"[{""pt"": ""30\""""}, {""pt"": ""Roxo""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/x10-estabilizador-recurvo-longo-22-9819a5d310aed6441a15754042329114-1024-1024.jpg
113873901,43817844,1034705,,,308.00,22,true,2026-03-19 04:00:53.50806+00,2026-03-19 04:00:53.428+00,5,"[{""pt"": ""12\""""}, {""pt"": ""Preto""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/lateral-x10-18mm1-a5be2b5c968be698eb16214393690670-1024-1024.jpg
113873902,43817844,1034705,,,308.00,1,true,2026-03-19 04:00:53.50806+00,2026-03-19 04:00:53.428+00,5,"[{""pt"": ""12\""""}, {""pt"": ""Azul""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/lateral-x10-18mm1-a5be2b5c968be698eb16214393690670-1024-1024.jpg
113873903,43817844,1034705,,,308.00,6,true,2026-03-19 04:00:53.50806+00,2026-03-19 04:00:53.428+00,5,"[{""pt"": ""12\""""}, {""pt"": ""Vermelho""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/lateral-x10-18mm1-a5be2b5c968be698eb16214393690670-1024-1024.jpg
113873904,43817844,1034705,,,308.00,5,true,2026-03-19 04:00:53.50806+00,2026-03-19 04:00:53.428+00,5,"[{""pt"": ""12\""""}, {""pt"": ""Laranja""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/lateral-x10-18mm1-a5be2b5c968be698eb16214393690670-1024-1024.jpg
113873905,43817844,1034705,,,308.00,0,true,2026-03-19 04:00:53.50806+00,2026-03-19 04:00:53.428+00,5,"[{""pt"": ""12\""""}, {""pt"": ""Roxo""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/lateral-x10-18mm1-a5be2b5c968be698eb16214393690670-1024-1024.jpg
114017938,43861930,1034705,,,350.00,20,true,2026-03-19 04:00:55.944946+00,2026-03-19 04:00:55.86+00,5,"[{""pt"": ""28\""""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/image-0011-7c090fd7e63266bbd815755656686861-1024-1024.jpg
114018283,43862110,1034705,,,220.00,43,true,2026-03-19 04:00:56.413471+00,2026-03-19 04:00:56.326+00,5,"[{""pt"": ""11\""""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/lateral-x911-e13ad844bcb1c2b85916214395342012-1024-1024.jpg
114021719,43864514,1034705,,,600.00,0,true,2026-03-19 04:00:57.394905+00,2026-03-19 04:00:57.294+00,5,"[{""pt"": ""12\""""}, {""pt"": ""Preto""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/x10-compound-stabilzer-18mm-side-rod1-7be7a8449e1345f67c15755672036364-480-011-7bf25d49b9c666500316214396333192-1024-1024.jpg
114021720,43864514,1034705,,,600.00,0,true,2026-03-19 04:00:57.394905+00,2026-03-19 04:00:57.294+00,5,"[{""pt"": ""12\""""}, {""pt"": ""Azul""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/x10-compound-stabilzer-18mm-side-rod1-7be7a8449e1345f67c15755672036364-480-011-7bf25d49b9c666500316214396333192-1024-1024.jpg
114021721,43864514,1034705,,,600.00,0,true,2026-03-19 04:00:57.394905+00,2026-03-19 04:00:57.294+00,5,"[{""pt"": ""12\""""}, {""pt"": ""Dourado""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/x10-compound-stabilzer-18mm-side-rod1-7be7a8449e1345f67c15755672036364-480-011-7bf25d49b9c666500316214396333192-1024-1024.jpg
114021722,43864514,1034705,,,600.00,2,true,2026-03-19 04:00:57.394905+00,2026-03-19 04:00:57.294+00,5,"[{""pt"": ""12\""""}, {""pt"": ""Vermelho""}]",https://acdn-us.mitiendanube.com/stores/001/034/705/products/x10-compound-stabilzer-18mm-side-rod1-7be7a8449e1345f67c15755672036364-480-011-7bf25d49b9c666500316214396333192-1024-1024.jpg
